Currency,Timestamp,Trade Type,Price,Quantity,Value (Incl. Fee),Fee,From,To,Transaction Id
Bitcoin (BTC),2019-01-04 11:06,Transfer In,4983.681423,0.00118864,5.92,0,Unknown,Main (1MmF...FTTb),7151abb1bae54141e46c95b9abee655e0bf6ceeb28d7f0d1bf1786aff9334594
Bitcoin (BTC),2019-01-11 6:26,Transfer In,4749.194735,0.00161272,7.66,0,Unknown,Main (1MmF...FTTb),294dc10a63fc93c9bbb53af61b33762db48e92a6d5b0dee21324b305d3f84e08
Litecoin (LTC),2019-01-16 14:41,Unknown Acquisition,40.85766808,1.35857626,55.51,0,Unknown,LTC main (LMDL...tNWz),2645aadb4c0057f42ee2256366b2d3a8e27ad3921bf5a1babda67f7c8f201548
Bitcoin (BTC),2019-01-17 14:20,Transfer In,4790.834959,0.06310745,302.34,0,Unknown,Main (1MmF...FTTb),33dc6905fc931efbb45c6ad5fbe46001d0504c32348d289b065a539f0e5fb831
Bitcoin (BTC),2019-01-18 7:32,Transfer In,4746.618958,0.00262908,12.48,0,Unknown,Main (1MmF...FTTb),ed82a16163b5df008ebf7aaafd11399fc840440e3d6db2d408120686d029da8d
Bitcoin (BTC),2019-01-25 5:14,Transfer In,4705.182019,0.0015329,7.21,0,Unknown,Main (1MmF...FTTb),89c4984848388548d0762bd34747bb07130d2f68cb551bdfe74c37a37cacdb7c
Bitcoin (BTC),2019-02-13 0:40,Transfer Out,4816.573857,0.04800539,231.22,2.40828693,Binance,Main (1MmF...FTTb),4227975ff09a5f35e65554b20d1c2565566bf49d0eaa72680be8e342189b539c
Bitcoin (BTC),2019-02-13 0:40,Fee,4816.573857,0.0005,2.41,0,Binance,Binance,4227975ff09a5f35e65554b20d1c2565566bf49d0eaa72680be8e342189b539c
Bitcoin (BTC),2019-02-13 0:48,Transfer In,4818.929377,0.04800539,231.33,0,Binance,Main (1MmF...FTTb),4227975ff09a5f35e65554b20d1c2565566bf49d0eaa72680be8e342189b539c
Bitcoin (BTC),2019-02-15 19:38,Transfer In,4768.991739,0.00107205,5.11,0,Unknown,Main (1MmF...FTTb),7453d852f6dfc7c3860da0c6b434f3d688b5fbef40de9c1d1a7e557be11ea8ad
Bitcoin (BTC),2019-03-08 0:23,Transfer In,5221.675736,0.00289962,15.14,0,Unknown,Main (1MmF...FTTb),e388a02f008f3aff5cc17d69bfc95ac5f30cc8cf87c2e358f0dc9f07780c77ff
Bitcoin (BTC),2019-03-15 6:38,Transfer In,5189.658736,0.00261992,13.6,0,Unknown,Main (1MmF...FTTb),30cc0be51e653159bd4b67b9f6e6f3252562134e81865e0d3ca561fa7de394ad
Bitcoin (BTC),2019-03-21 0:46,Transfer Out,5406.403891,0.02121986,114.72,0,Main (1MmF...FTTb),Unknown,406e6ccf943b47b323b00d640e47fae35c69c2990acbbe63a6ab87e6fba66136
Bitcoin (BTC),2019-03-21 0:51,Transfer In,5404.181898,0.02,108.08,0,Unknown,Binance,406e6ccf943b47b323b00d640e47fae35c69c2990acbbe63a6ab87e6fba66136
Stellar (XLM),2019-03-21 23:03,Buy,0.14123595,124.875,17.65,0.01765449,Binance,Binance,22054199
Bitcoin (BTC),2019-03-21 23:03,Sell,5349.846522,0.0033,17.65,0,Binance,Binance,22054199
Stellar (XLM),2019-03-21 23:04,Buy,0.14121859,631.368,89.25,0.08925015,Binance,Binance,22054202
Bitcoin (BTC),2019-03-21 23:04,Sell,5349.189143,0.0166848,89.25,0,Binance,Binance,22054202
Bitcoin (BTC),2019-03-22 6:51,Transfer In,5352.556535,0.00132999,7.12,0,Unknown,Main (1MmF...FTTb),ba8839ad37af7745937443de51eca18d80623f5f7ea401186fb67424eff2ed84
Bitcoin (BTC),2019-03-29 7:31,Transfer In,5474.851901,0.00222654,12.19,0,Unknown,Main (1MmF...FTTb),f7ffcf6ce47c0d7a0da1634f457459f34e6aacf1fd0833caf94e5b2ea8b3f809
Bitcoin (BTC),2019-04-01 21:54,Transfer In,5553.456001,0.002512,13.95,0,Unknown,Main (1MmF...FTTb),fec3309929c9768c0d5d9aecbd9ab0dac148d43824db3d62f743a63350f1ceb4
Bitcoin Cash (BCH),2019-04-04 12:24,Transfer In,398.7788002,0.05110786,20.38,0,Unknown,Binance,3a6a72a921cd1a491cb339451d806cf7e85f01d2f2dcfd12416ec6f8948d065e
Bitcoin Cash (BCH),2019-04-04 13:34,Transfer In,398.7788002,0.00001111,0,0,Unknown,Binance,2d9dea6dcdc4b655ff548d953ab3439bdfdd36246f2802665d55481628c1c912
Bitcoin (BTC),2019-04-05 7:48,Transfer In,6668.228553,0.00239821,15.99,0,Unknown,Main (1MmF...FTTb),4882303af122922f51efd387396aaf0683205a5628af185c598afb3d1154795d
Bitcoin (BTC),2019-04-12 5:03,Transfer In,6638.004161,0.00192995,12.81,0,Unknown,Main (1MmF...FTTb),26338fd5d27a537194f3a28fc8040bfa05bada576e3527228af528af32d3b5d8
Bitcoin (BTC),2019-04-19 5:22,Transfer In,7009.144341,0.00129608,9.08,0,Unknown,Main (1MmF...FTTb),24d2e841ee797b9d4d2430174cb946c6204a54cb136db66e3c32b647b9c417d8
Bitcoin (BTC),2019-04-25 23:56,Transfer In,7193.914958,0.01,71.94,0,Unknown,Binance,9c813429aa4a3ad50c5baa9aaf6fb70a23054100c94aaaa2cf167785afc13ddf
Binance Coin (BNB),2019-04-26 2:47,Buy,30.86575553,2.298275,70.99,0.05324343,Binance,Binance,43414020
Bitcoin (BTC),2019-04-26 2:47,Sell,7092.641098,0.01000914,70.99,0,Binance,Binance,43414020
